001227,兰州银行,甘肃,兰州市
001234,泰慕士,江苏,南通市
001266,宏英智能,上海,上海市
001267,汇绿生态,湖北,武汉市
001288,运机集团,四川,自贡市
001289,龙源电力,北京,北京市
001296,长江材料,重庆,重庆市
001308,康冠科技,广东,深圳市
001313,粤海饲料,广东,湛江市
001317,三羊马,重庆,重庆市
300834,星辉环材,广东,汕头市
301089,拓新药业,河南,新乡市
301090,华润材料,江苏,常州市
301091,深城交,广东,深圳市
301092,争光股份,浙江,杭州市
301093,华兰股份,江苏,无锡市
301096,百诚医药,浙江,杭州市
301097,天益医疗,浙江,宁波市
301098,金埔园林,江苏,南京市
301099,雅创电子,上海,上海市
301100,风光股份,辽宁,营口市
301101,明月镜片,江苏,镇江市
301102,兆讯传媒,天津,天津市
301103,何氏眼科,辽宁,沈阳市
301106,骏成科技,江苏,镇江市
301108,洁雅股份,安徽,铜陵市
301109,军信股份,湖南,长沙市
301110,青木股份,广东,广州市
301111,粤万年青,广东,汕头市
301113,雅艺科技,浙江,金华市
301116,益客食品,江苏,宿迁市
301117,佳缘科技,四川,成都市
301118,恒光股份,湖南,怀化市
301119,正强股份,浙江,杭州市
301120,新特电气,北京,北京市
301122,采纳股份,江苏,无锡市
301123,奕东电子,广东,东莞市
301126,达嘉维康,湖南,长沙市
301127,天源环保,湖北,武汉市
301128,强瑞技术,广东,深圳市
301129,瑞纳智能,安徽,合肥市
301130,西点药业,吉林,吉林市
301131,聚赛龙,广东,广州市
301133,金钟股份,广东,广州市
301135,瑞德智能,广东,佛山市
301136,招标股份,福建,福州市
301137,哈焊华通,江苏,常州市
301138,华研精机,广东,广州市
301149,隆华新材,山东,淄博市
301151,冠龙节能,上海,上海市
301155,海力风电,江苏,南通市
301158,德石股份,山东,德州市
301159,三维天地,北京,北京市
301163,宏德股份,江苏,南通市
301166,优宁维,上海,上海市
301167,建研设计,安徽,合肥市
301168,通灵股份,江苏,镇江市
301169,零点有数,北京,北京市
301177,迪阿股份,广东,深圳市
301178,天亿马,广东,汕头市
301179,泽宇智能,江苏,南通市
301180,万祥科技,江苏,苏州市
301181,标榜股份,江苏,无锡市
301182,凯旺科技,河南,周口市
301185,鸥玛软件,山东,济南市
301186,超达装备,江苏,南通市
301188,力诺特玻,山东,济南市
301189,奥尼电子,广东,深圳市
301190,善水科技,江西,九江市
301193,家联科技,浙江,宁波市
301196,唯科科技,福建,厦门市
301198,喜悦智行,浙江,宁波市
301199,迈赫股份,山东,潍坊市
301200,大族数控,广东,深圳市
301201,诚达药业,浙江,嘉兴市
301206,三元生物,山东,滨州市
301207,华兰疫苗,河南,新乡市
301211,亨迪药业,湖北,荆门市
301212,联盛化学,浙江,台州市
301213,观想科技,四川,成都市
301215,中汽股份,江苏,盐城市
301216,万凯新材,浙江,嘉兴市
301217,铜冠铜箔,安徽,池州市
301218,华是科技,浙江,杭州市
301219,腾远钴业,江西,赣州市
301221,光庭信息,湖北,武汉市
301222,浙江恒威,浙江,嘉兴市
301226,祥明智能,江苏,常州市
301228,实朴检测,上海,上海市
301229,纽泰格,江苏,淮安市
301235,华康医疗,湖北,武汉市
301236,软通动力,北京,北京市
301237,和顺科技,浙江,湖州市
301256,华融化学,四川,成都市
301258,富士莱,江苏,苏州市
301263,泰恩康,广东,汕头市
301268,铭利达,广东,深圳市
301279,金道科技,浙江,绍兴市
600927,永安期货,浙江,杭州市
600935,华塑股份,安徽,滁州市
600941,中国移动,北京,北京市
601868,中国能建,北京,北京市
603048,浙江黎明,浙江,舟山市
603051,鹿山新材,广东,广州市
603070,万控智造,浙江,温州市
603071,物产环能,浙江,杭州市
603102,百合股份,山东,威海市
603122,合富中国,上海,上海市
603132,金徽股份,甘肃,陇南市
603150,万朗磁塑,安徽,合肥市
603176,汇通集团,河北,保定市
603191,望变电气,重庆,重庆市
603209,兴通股份,福建,泉州市
603213,镇洋发展,浙江,宁波市
603215,比依股份,浙江,宁波市
603216,梦天家居,浙江,嘉兴市
603219,富佳股份,浙江,宁波市
603230,内蒙新华,内蒙古,呼和浩特市
603261,立航科技,四川,成都市
688032,禾迈股份,浙江,杭州市
688048,长光华芯,江苏,苏州市
688049,炬芯科技,广东,珠海市
688062,迈威生物,上海,上海市
688075,安旭生物,浙江,杭州市
688082,盛美上海,上海,上海市
688102,斯瑞新材,陕西,西安市
688105,诺唯赞,江苏,南京市
688107,安路科技,上海,上海市
688110,东芯股份,上海,上海市
688112,鼎阳科技,广东,深圳市
688115,思林杰,广东,广州市
688125,安达智能,广东,东莞市
688150,莱特光电,陕西,西安市
688151,华强科技,湖北,宜昌市
688153,唯捷创芯,天津,天津市
688162,巨一科技,安徽,合肥市
688163,赛伦生物,上海,上海市
688167,炬光科技,陕西,西安市
688171,纬德信息,广东,广州市
688173,希荻微,广东,佛山市
688175,高凌信息,广东,珠海市
688176,亚虹医药,江苏,泰州市
688182,灿勤科技,江苏,苏州市
688190,云路股份,山东,青岛市
688192,迪哲医药,上海,上海市
688193,仁度生物,上海,上海市
688197,首药控股,北京,北京市
688206,概伦电子,上海,上海市
688207,格灵深瞳,北京,北京市
688210,统联精密,广东,深圳市
688211,中科微至,江苏,无锡市
688212,澳华内镜,上海,上海市
688220,翱捷科技,上海,上海市
688223,晶科能源,江西,上饶市
688225,亚信安全,江苏,南京市
688227,品高股份,广东,广州市
688230,芯导科技,上海,上海市
688232,新点软件,江苏,苏州市
688234,天岳先进,山东,济南市
688235,百济神州,北京,北京市
688236,春立医疗,北京,北京市
688238,和元生物,上海,上海市
688246,嘉和美康,北京,北京市
688248,南网科技,广东,广州市
688257,新锐股份,江苏,苏州市
688259,创耀科技,江苏,苏州市
688261,东微半导,江苏,苏州市
688262,国芯科技,江苏,苏州市
688265,南模生物,上海,上海市
688267,中触媒,辽宁,大连市
688270,臻镭科技,浙江,杭州市
688280,精进电动,北京,北京市
688281,华秦科技,陕西,西安市
688282,理工导航,北京,北京市
688283,坤恒顺维,四川,成都市
688295,中复神鹰,江苏,连云港市
688302,海创药业,四川,成都市
688306,均普智能,浙江,宁波市
688331,荣昌生物,山东,烟台市
688337,普源精电,江苏,苏州市
688396,华润微,香港,香港
688739,成大生物,辽宁,沈阳市